OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_140	0	0	0	0	0	245433	0	0	0	0	0	0	13109	0	3835	0	0	0	0	11357	4119	24607	0	0	0	0	0	0	0	0	0	0	0	0	0	274555	0	0	0	0	0	0	0	0	0	0	0	0
ASV_264	1303	64778	330	0	0	21058	3254	0	27351	706	2783	0	1552	0	4628	1569	33189	603	0	28488	0	163688	0	0	345	381	273191	540	71736	718	394	0	9415	296	668	30492	224	0	587	1204	1700	231	331	1577	0	300	772	152
ASV_70	5748	780	24417	12248	254941	24688	68331	7240	2652	9465	2783	164877	34669	31957	2380	51105	48074	28951	19624	23675	11650	24428	23059	8200	6320	30084	37814	20523	15441	7462	16529	7329	30142	8697	297	21888	10303	12813	32131	107874	36371	23506	12482	0	50002	11860	13201	28368
ASV_311	1226	8097	0	98176	177636	0	247837	0	6630	0	14536	152006	0	0	22347	60071	772	1809	1670	0	0	0	53804	0	919	0	4076	0	1045	0	630	0	3858	0	0	0	0	747	0	8086	3059	0	0	0	5712	651	0	1141
ASV_235	3525	0	3300	0	0	0	0	243996	0	0	7113	0	8797	0	0	0	0	0	3340	6544	2295	0	0	225564	14018	2666	4642	2315	5227	0	83983	0	0	3854	3713	3163	0	0	5062	7570	3173	2032	3968	0	2817	0	4845	2053
ASV_13	2644	0	131434	0	10965	6898	2712	68330	4558	31433	6495	2247	2932	46355	0	11880	45538	2212	2401	35513	883	8202	42179	166650	237154	70031	3736	106820	4624	23391	98820	4383	2060	54900	22203	71043	4984	71130	12544	38797	70307	27131	235044	12613	62444	65528	161189	53808
ASV_239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	233038	0	0	0	0	63648	0	0	71858	27315	532
ASV_112	106602	0	43665	0	0	0	0	229153	4310	163593	61236	7355	0	0	0	22191	2315	2815	0	26178	41775	1961	4131	0	0	0	0	13348	5871	0	1417	2515	0	0	20124	0	0	11606	2494	0	2379	1385	1819	0	0	21768	32722	2510
ASV_56	0	154434	16498	145286	54826	0	78093	25069	101281	11302	2474	34324	63647	55486	2777	55588	48846	4423	5845	72181	8473	223778	67351	13751	30104	8302	169372	25307	61361	6458	36600	7473	0	15121	21609	0	8400	402	14011	3613	40111	4618	0	16483	2035	550	0	23273
ASV_49	3372	80778	10449	61808	222593	124169	104666	0	74925	5227	32783	156296	86415	19315	61884	32053	42671	4021	4802	24830	13827	96109	52843	0	0	25286	96121	7175	33938	11193	2597	1437	17261	10871	32154	162709	560	6320	4768	63485	70024	8590	23228	96891	31926	7406	33073	70502
